 * Serving Flask app "webgui" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
192.168.1.52 - - [21/Sep/2020 23:28:01] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [21/Sep/2020 23:28:01] "GET /static/style.css HTTP/1.1" 200 -
192.168.1.52 - - [21/Sep/2020 23:28:01] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [22/Sep/2020 07:39:20] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 07:39:21] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [22/Sep/2020 07:39:47] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 07:39:47] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [22/Sep/2020 09:19:02] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 09:19:02] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 09:19:10] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 09:19:11] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [22/Sep/2020 09:41:22] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 09:41:22] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [22/Sep/2020 09:49:31] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 09:49:32] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [22/Sep/2020 10:01:52] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 10:01:52] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 10:05:01] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 10:05:08] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 10:08:54] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 10:08:54] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 10:10:37] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 10:10:37] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 10:19:28] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 10:19:28] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 10:31:40] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 10:31:40] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 11:16:52] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 11:16:56] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [22/Sep/2020 12:26:42] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 12:26:43] "GET /static/style.css HTTP/1.1" 304 -
192.168.1.52 - - [22/Sep/2020 12:26:43] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [22/Sep/2020 13:39:08] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 13:39:08] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [22/Sep/2020 13:55:47] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 13:55:48] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [22/Sep/2020 15:02:20] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 15:02:20] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 15:20:51] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 15:20:52] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [22/Sep/2020 15:21:00] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 18:00:29] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 18:00:30] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 18:00:54] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 18:00:55] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [22/Sep/2020 18:28:38] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 18:28:39] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [22/Sep/2020 19:38:08] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 19:38:08] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 22:31:13] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 22:31:13] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 22:41:23] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 22:41:23] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 23:11:37] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [22/Sep/2020 23:11:37] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [23/Sep/2020 08:34:05] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [23/Sep/2020 08:34:05] "GET /static/style.css HTTP/1.1" 200 -
192.168.1.52 - - [23/Sep/2020 08:34:06] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [23/Sep/2020 17:18:18] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [23/Sep/2020 17:18:19] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.95 - - [23/Sep/2020 21:13:10] "GET / HTTP/1.1" 200 -
192.168.1.95 - - [23/Sep/2020 21:13:11] "GET /static/style.css HTTP/1.1" 200 -
192.168.1.95 - - [23/Sep/2020 21:13:11] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.95 - - [23/Sep/2020 21:13:11] "GET /favicon.ico HTTP/1.1" 404 -
192.168.1.52 - - [23/Sep/2020 21:49:15] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [23/Sep/2020 21:49:15] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [23/Sep/2020 21:49:16] "GET /static/style.css HTTP/1.1" 200 -
192.168.1.52 - - [23/Sep/2020 23:12:11] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [23/Sep/2020 23:12:11] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [23/Sep/2020 23:31:27] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [23/Sep/2020 23:31:27] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [24/Sep/2020 07:03:08] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [24/Sep/2020 07:03:09] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [24/Sep/2020 07:37:59] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [24/Sep/2020 07:37:59] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [24/Sep/2020 07:37:59] "GET /favicon.ico HTTP/1.1" 404 -
192.168.1.52 - - [24/Sep/2020 07:44:06] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [24/Sep/2020 07:44:07] "GET /static/script.js HTTP/1.1" 304 -
192.168.1.52 - - [24/Sep/2020 08:49:25] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [24/Sep/2020 08:49:25] "GET /static/script.js HTTP/1.1" 200 -
192.168.1.52 - - [24/Sep/2020 16:35:22] "GET / HTTP/1.1" 200 -
192.168.1.52 - - [24/Sep/2020 16:35:23] "GET /static/style.css HTTP/1.1" 200 -
